city: La Grande
country: United States
description: A.K.A. Hatchet Park - Reports of the merry-go-round being haunted and cursed by a woman.- December 2003 correction: a woman was killed in the park years ago. She was found in the grass, still alive but someone had tried to chop the top of her head off- with a hatchet. That park doesn’t have a merry-go-round anymore, but it's said that you can see her sitting on one of the benches or swings at it. - February 2004 Update about Merry-go-round. Another submitter reports there used to be a merry-go-round until it was removed a short time ago. The woman did haunt the merry-go-round throwing people off and making it spin out of control. Since the removal of the merry-go-round, the woman is said to haunt the park benches.
location: Candy Cane Park
state: Oregon
state_abbrev: OR
longitude: -118.0856715
latitude: 45.320039
city_longitude: -118.0877188
city_latitude: 45.3245771
audio_evidence: False
visual_evidence: False
evidence_date: 1988/09/03
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.116666666666667
day_duration: 11h 20m
time_of_day: Unknown
apparition_type: Unknown
event_type: Murder
witness_count: 1
