city: Jackson county
country: United States
description: If you go out there anytime at you can hear a sound that sounds like a baby crying and a wolf at the same time, also reported, no animals live in the area.
location: Mamee bottoms
state: Indiana
state_abbrev: IN
city_longitude: -86.05296039999999
city_latitude: 38.8794321
audio_evidence: True
visual_evidence: False
evidence_date: 2002/10/08
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.35
day_duration: 11h 28m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 1
