city: Perry County
country: United States
description: a state trooper stated she goes up there all the time for reports of goings on but there is nothing there. It is a public place in Perry County, PA it is called Pandemonium there is a very old cemetery there it is called Pioneer Cemetery.  This was a small community from whose main resources were the tannery and farming there is not much left but foundation of the old tannery and the cemetery.
location: Pandemonium
state: Pennsylvania
state_abbrev: PA
longitude: -77.1562971
latitude: 40.3160088
city_longitude: -77.2405153
city_latitude: 40.371376
audio_evidence: False
visual_evidence: False
evidence_date: 1819/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.15
day_duration: 11h 27m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 1
