city: Cumberland County
country: United States
description: Dykeman's Pond - There is a rumor that if you go to the house by the ponds and say "I Got Your Baby,. Mary three times a Woman will come flying out of the house chasing you and will be crying, "Please...Please...give me my Baby" and if you refuse she will try to Kill you... oh yeah if anyone goes there not to be funny but stay away from the ducks, THEY WILL BITE YOU!
location: Shippensburg
state: Pennsylvania
state_abbrev: PA
longitude: -77.5202647
latitude: 40.0506453
city_longitude: -77.2405153
city_latitude: 40.1299841
audio_evidence: False
visual_evidence: False
evidence_date: 2024/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.15
day_duration: 11h 27m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 0
