city: Winter Haven
country: United States
description: Every 13th of August it is said that when you go into the woods and walk along the old dirt trail, about 11:30 to 12:30 you can hear children screaming and crying for help and the little hairs on the back of your neck will rise without intention. - January 2007 Update: was torn down early 2006.
location: JPV Woods
state: Florida
state_abbrev: FL
longitude: -81.77137800000001
latitude: 28.023829
city_longitude: -81.7328567
city_latitude: 28.0222435
audio_evidence: False
visual_evidence: False
evidence_date: 1960/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 42m
time_of_day: Morning
apparition_type: Unknown
event_type: Unknown
witness_count: 0
