city: Fort Worth
country: United States
description: A young actor, Ken Yandell apparently hanged himself from a pipe in the basement of this theater. His ghost seems to spend most of time in the strange corridor filled basement where he died. A wardrobe woman was so frightened one night by cackling coming from the stage, that she left and never returned.
location: Scott Theatre
state: Texas
state_abbrev: TX
longitude: -97.3691633
latitude: 32.7467865
city_longitude: -97.3307658
city_latitude: 32.7554883
audio_evidence: False
visual_evidence: True
evidence_date: 2025/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.733333333333333
day_duration: 11h 38m
time_of_day: Afternoon
apparition_type: Ghost
event_type: War
witness_count: 1
