city: Society Hill
country: United States
description: Legend states that if you go out to Colonel Kolbs tomb at night, you will hear someone walking through the woods after a while. You may even see the ghost of man standing near you! Colonel Kolb and his family were burned alive at this site during the Revolutionary War.
location: Colonel Kolbs Tomb
state: South Carolina
state_abbrev: SC
longitude: -79.8272909
latitude: 34.5368902
city_longitude: -79.8508976
city_latitude: 34.5126567
audio_evidence: False
visual_evidence: True
evidence_date: 1990/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 35m
time_of_day: Afternoon
apparition_type: Ghost
event_type: War
witness_count: 1
